127.0.0.1 - - [08/Jun/2021:21:03:21 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 200 24440
127.0.0.1 - - [08/Jun/2021:21:03:21 +0530] "GET /EggSupplier/Images/egg3.jpg HTTP/1.1" 200 1891710
127.0.0.1 - - [08/Jun/2021:21:03:21 +0530] "GET /EggSupplier/Images/hen19.jpg HTTP/1.1" 200 1165536
127.0.0.1 - - [08/Jun/2021:21:03:22 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 200 10765
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:10 +0530] "GET /EggSupplier/Images/egg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 200 10765
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:11 +0530] "GET /EggSupplier/Images/egg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 200 10765
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:21:04:29 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
